Category,Rank,Company,HQ City,Region,Country,What They Make / Sell,Approx Employees,Approx Revenue EUR,Niche Leadership,In DB,Source
MANUFACTURER,1,Wandres GmbH micro-cleaning,Stegen,BW,DE,Industrial surface cleaning systems (brush & air-based),140,23M,World market leader micro-cleaning,No,Web
MANUFACTURER,2,Paul Maschinenfabrik GmbH,Dürmentingen,BW,DE,Woodworking machinery & prestressed concrete machines,285,34M,Global leader industrial circular saws,No,Web
MANUFACTURER,3,Peter Huber Kältemaschinenbau SE,Offenburg,BW,DE,High-precision temperature control systems (-125 to +425°C),400,43M,World technology leader tempering,No,Web
MANUFACTURER,4,Hahn Gasfedern GmbH,Aichwald,BW,DE,Industrial gas springs & dampers (custom batch 1-5000),280,40M,Leading global provider pneumatic springs,No,Web
MANUFACTURER,5,KRIWAN Industrie-Elektronik,Forchtenberg,BW,DE,Sensors for refrigerant compressors & motor protection,200,25M,World market leader compressor sensors,No,Web
MANUFACTURER,6,SIKO GmbH,Buchenbach,BW,DE,Industrial sensors & positioning (angle/length/rotary encoders),250,25M,Leading manufacturer angle/length measurement,No,Web
MANUFACTURER,7,Christian Maier GmbH,Heidenheim,BW,DE,Rotary joints for hydraulic/pneumatic/electrical media,160,20M,Technology leader rotary joints,No,Web
MANUFACTURER,8,microsonic GmbH,Dortmund,NRW,DE,Ultrasonic sensors for industrial automation,160,15M,Worldwide specialist ultrasonic sensors,No,Web
MANUFACTURER,9,"L&R Kältetechnik GmbH",Sundern,NRW,DE,Industrial refrigeration & cryotherapy systems,150,30M,World leader ultra-light powder bagging,No,Web
MANUFACTURER,10,Greif-Velox Maschinenfabrik,Lübeck,SH,DE,Bagging & filling machines (vacuum technology),150,20M,World leader vacuum bagging tech,No,Web
MANUFACTURER,11,Ruf Maschinenbau GmbH,Zaisertshofen,Bavaria,DE,Hydraulic briquetting presses for wood/metal/residuals,190,30M,World leader briquetting (6000+ machines),No,Web
MANUFACTURER,12,Deutsche Holzveredelung Schmeing,Kirchhundem,NRW,DE,Compressed laminated wood for LNG tanks & transformers,120,20M,World leader compressed laminated wood,No,Web
MANUFACTURER,13,Witte Barskamp GmbH,Bleckede,Niedersachsen,DE,Modular fixturing & measuring systems (ALUFIX),230,25M,Global leader modular fixturing,No,Web
MANUFACTURER,14,August Steinmeyer GmbH,Albstadt,BW,DE,Precision ball screws for linear drive technology,410,50M,World leading precision ball screws,No,Web
MANUFACTURER,15,Carl Hirschmann GmbH,Fluorn-Winzeln,BW,DE,High-precision rotary tables & clamping systems,200,20M,Leading precision rotary tables,No,Web
MANUFACTURER,16,Beck Packautomaten GmbH,Frickenhausen,BW,DE,Film & shrink-wrap packaging machines,75,15M,Niche leader film packaging automation,No,Web
MANUFACTURER,17,"Dr. O.K. Wack Chemie / ZESTRON",Ingolstadt,Bavaria,DE,Electronics cleaning chemicals (PCB cleaning),250,50M,World leader electronics precision cleaning,No,Web
MANUFACTURER,18,Perma-tec GmbH,Euerdorf,Bavaria,DE,Automatic single-point lubrication systems,160,20M,World leader automatic lubrication,No,Web
MANUFACTURER,19,ALANOD GmbH,Ennepetal,NRW,DE,Functional aluminium surface coatings (coil-coated),415,65M,World leader coil-coated aluminium,No,Web
MANUFACTURER,20,Elma Schmidbauer GmbH,Singen,BW,DE,Ultrasonic cleaning devices for industrial fine cleaning,280,50M,World leader ultrasonic cleaning,No,Web
MANUFACTURER,21,BJB GmbH,Arnsberg,NRW,DE,Lamp sockets & LED connectors for lighting industry,400,83M,World leader lamp sockets & LED connectors,No,Web
MANUFACTURER,22,Gruner AG,Wehingen,BW,DE,Polarized bistable relays for energy management,400,50M,World leader bistable relays up to 200A,No,Web
MANUFACTURER,23,Nagel Technologies,Nürtingen,BW,DE,Honing & superfinishing machines for precision surfaces,330,48M,World leader honing & superfinishing,No,Web
MANUFACTURER,24,Braunform GmbH,Bahlingen,BW,DE,High-performance injection molding tools (medical/packaging),380,40M,Innovation leader multi-cavity molds,No,Web
MANUFACTURER,25,Otto Männer GmbH,Bahlingen,BW,DE,Needle valve hot runner systems & precision molds,500,50M,World specialist hot runner systems,No,Web
MANUFACTURER,26,Hugo Beck Maschinenbau,Dettingen/Erms,BW,DE,Flow-wrapping & packaging machines,200,30M,Leading horizontal flow-wrapping machines,No,Web
MANUFACTURER,27,Lippert GmbH,Hallstadt,Bavaria,DE,Tube filling & sealing machines (cosmetics/pharma/food),120,15M,Leading tube filling technology,No,Web
MANUFACTURER,28,Illig Maschinenbau,Heilbronn,BW,DE,Thermoforming machines for packaging & technical parts,400,50M,Technology leader thermoforming,No,Web
