Name,Company Domain Name,City,State/Region,Country/Region,Industry,Description,Annual Revenue,Number of Employees,Client Tier,Industry Tier,Ownership Type,Founding Year,World Market Leader,Pipeline Priority Score,In Pipeline,Already in DB,Data Completeness %,Source Lists,Source Count,Target Contact Role
TenCate,tencate.com,Nijverdal,Overijssel,Netherlands,Technical Textiles / Defense Composites,"Technical textiles for defense, aerospace composites, protective clothing, and geosynthetics.",500000000,700,3,tier1,Private,1704,Yes - world leader in antiballistic protection fabrics,90,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
OCI Nitrogen,oci-global.com,Geleen,Limburg,Netherlands,Chemicals / Nitrogen / Fertilizers,Leading European nitrogen fertilizer and world's largest melamine producer at Chemelot campus.,1000000000,800,3,tier1,Public (Euronext),1929,Yes - world's largest melamine producer,90,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Bronkhorst High-Tech,bronkhorst.com,Ruurlo,Gelderland,Netherlands,Flow Measurement Instrumentation,World-leading manufacturer of mass flow meters and controllers for gases and liquids.,100000000,500,3,tier1,Private,1981,Yes - world leader in low-flow mass flow measurement,90,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
SIF Group,sfrholding.com,Roermond,Limburg,Netherlands,Offshore Wind Foundations,Produces monopiles for offshore wind turbines at Roermond and Maasvlakte facilities.,400000000,600,3,tier1,Public (Euronext),1948,Yes - top-3 global offshore wind monopile producer,90,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Photonis Netherlands,photonis.com,Roden,Drenthe,Netherlands,Defense / Night Vision,Supplies 68% of global demand for night vision image intensifier tubes.,200000000,500,3,tier1,Private,1937,Yes - 68% global demand for night vision tubes,90,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Bollegraaf Recycling Machinery,bollegraaf.com,Appingedam,Groningen,Netherlands,Recycling Machinery,World leader in designing and producing turnkey recycling solutions.,50000000,228,4,tier1,Private,1961,Yes - world leader in recycling sorting systems,85,False,False,100,NL_Manufacturing,1,CEO / Managing Director
BE Semiconductor Industries (Besi),besi.com,Duiven,Gelderland,Netherlands,Semiconductor Assembly Equipment,"Designs and manufactures semiconductor assembly equipment for die attach, packaging, and plating. 39% global market share.",607500000,1800,2,tier1,Public (Euronext),1995,Yes - 39% global Die Bonder market,80,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
VMI Group,vmi-group.com,Epe,Gelderland,Netherlands,Tire Building Machinery,20% of the 1.2 billion tires produced yearly worldwide are manufactured on VMI machines.,500000000,1000,2,tier1,Subsidiary (TKH Group),1945,Yes - world market leader in tire building systems,80,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Royal IHC,royalihc.com,Kinderdijk,Zuid-Holland,Netherlands,Shipbuilding / Dredging Equipment,Develops and constructs specialized ships and equipment for dredging and offshore industries.,436000000,3000,2,tier1,Private consortium,1943,Yes - world leader in dredging vessel design,80,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Lely Industries,lely.com,Maassluis,Zuid-Holland,Netherlands,Agricultural Robotics / Dairy Equipment,"World-leading dairy robot manufacturer with 135,000+ robots deployed globally.",400000000,2000,2,tier1,Family-owned,1948,Yes - world market leader in robotic milking systems,80,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Stahl Holdings,stahl.com,Waalwijk,Noord-Brabant,Netherlands,Specialty Chemicals / Coatings,Global leader in specialty coatings for flexible materials including leather and textiles.,600000000,1900,2,tier1,PE-backed,1930,Yes - world market leader in leather processing chemicals,80,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Lamb Weston / Meijer,lambweston.eu,Kruiningen,Zeeland,Netherlands,Food Processing / Potato Products,"One of world's largest potato processors. 700,000+ tonne capacity at 4 Dutch factories.",1500000000,1400,2,tier1,JV (Lamb Weston / Meijer),1958,Yes - top-3 global potato processor,80,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
ASM International,asm.com,Almere,Flevoland,Netherlands,Semiconductor Equipment,Designs and manufactures semiconductor process equipment including ALD and epitaxy tools for AI and EV chip fabrication.,2900000000,4558,1,tier1,Public (Euronext),1968,Yes - global leader in ALD equipment,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Nexperia,nexperia.com,Nijmegen,Gelderland,Netherlands,Semiconductor Manufacturing,Produces essential discrete components shipping 100B+ products annually for automotive and industrial.,1900000000,12500,1,tier1,Private,2017,Yes - one of world's largest discrete semiconductor producers,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
NTS Group,nts-group.com,Eindhoven,Noord-Brabant,Netherlands,Precision Manufacturing,First-tier contract manufacturer of precision machine components for semiconductor and analytical OEMs.,180000000,1800,3,tier1,Private (NPM Capital),1987,No,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
KMWE Group,kmwe.com,Eindhoven,Noord-Brabant,Netherlands,Precision Manufacturing / Aerospace,Precision machining specialist for aerospace OEMs and high-tech equipment industry (ASML).,100000000,880,3,tier1,Private,1955,No,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Sioux Technologies,sioux.eu,Eindhoven,Noord-Brabant,Netherlands,High-Tech Systems / Mechatronics,"Strategic high-tech solutions partner for ASML, Philips, Thermo Fisher, and Zeiss.",150000000,1200,3,tier1,Private,1996,No,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Demcon,demcon.com,Enschede,Overijssel,Netherlands,High-Tech Systems / Engineering,"Develops and produces high-tech technology for healthcare, energy, production, and semiconductor sectors.",185000000,1000,3,tier1,Private,1993,No,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Aalberts Industries,aalberts.com,Utrecht,Utrecht,Netherlands,Industrial Manufacturing / Flow Control,"Mission-critical technologies: flow control, surface technologies, semiconductor equipment. 135 locations.",3000000000,14402,1,tier1,Public (Euronext),1975,Yes - leading global position in flow control,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Inalfa Roof Systems,inalfa.com,Venray,Limburg,Netherlands,Automotive Supplier / Roof Systems,"Designs, develops and manufactures automotive roof systems for world's largest car brands.",1350000000,5000,1,tier1,Private (BAIC Group),1946,Yes - world market leader in automotive roof systems,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Vanderlande Industries,vanderlande.com,Veghel,Noord-Brabant,Netherlands,Logistics Automation / Material Handling,World-leading supplier of baggage handling systems for 600+ airports and automated warehouse solutions.,2100000000,9000,1,tier1,Subsidiary (Toyota Industries),1949,Yes - world leader in airport baggage handling,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Damen Shipyards Group,damen.com,Gorinchem,Zuid-Holland,Netherlands,Shipbuilding / Defense / Maritime,Netherlands' largest shipbuilding group with 50+ shipyards delivering 150+ vessels annually.,3000000000,12500,1,tier1,Family-owned,1927,Yes - world leader in standardized shipbuilding,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Boskalis,boskalis.com,Papendrecht,Zuid-Holland,Netherlands,Dredging / Maritime Infrastructure,"Leading global services provider in dredging, maritime infrastructure, and offshore energy support.",4400000000,6719,1,tier1,Private (HAL Investments),1910,Yes - one of world's largest dredging companies,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Heerema Marine Contractors,heerema.com,Leiden,Zuid-Holland,Netherlands,Offshore Construction / Heavy Lift,Operates three of the largest crane vessels in the offshore industry.,4500000000,3761,1,tier1,Private (Heerema family),1948,Yes - operates world's largest semi-submersible crane vessels,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
