company_name,domain,city,region,country,zip,phone,email_company,industry,industry_tier,description,revenue_eur,employees,client_tier,ownership,founding_year,world_market_leader,niche_leadership,contact_1_name,contact_1_position,contact_1_email,contact_1_linkedin,has_url,has_contact,data_completeness,sources,source_count,contact_1_firstname,contact_1_lastname,target_contact_role,contact_role_match,pipeline_priority,in_pipeline,in_db
Wafios AG,wafios.de,Reutlingen,Baden-Württemberg,DE,72764.0,07121-146-0,sales@wafios.de,Maschinenbau,tier1,Die Wafios AG ist ein deutsches Maschinenbauunternehmen. Das Unternehmen ist spezialisiert auf die Herstellung von Maschinen für die Drahtverarbeitung.,166600000.0,979.0,3.0,Wagner / Ficker / Schmidt,1896.0,Yes - 120+ machine types,,None Hanns-Gerhard Rösch,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Hanns-Gerhard,Rösch,Head of Sales / Vertriebsleiter,False,97.0,False,False
Kiener Maschinenbau GmbH,kiener-online.de,Lauchheim,Baden-Württemberg,DE,73466.0,07363-950-0,info@kiener-online.de,Maschinenbau,tier1,"Kiener Maschinenbau ist eine inhabergeführte mittelständische Firma aus der Maschinenbaubranche, die sich auf die Herstellung von Maschinen und Anlagen für die Bereiche Montage-, Handhabungs- und Automatisierungstechnik konzentriert.",137500000.0,500.0,3.0,Kiener,1980.0,Yes - oriented film lines,,None Waldemar Kiener,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Waldemar,Kiener,Head of Sales / Vertriebsleiter,False,97.0,False,False
Uzin Utz AG,uzin-utz.com,Ulm,Baden-Württemberg,DE,89079.0,0731-4097-0,info@uzin-utz.com,Werkzeugbau,tier1,Die Uzin Utz Aktiengesellschaft entwickelt und fertigt Systemprodukte und Maschinen für alle Bereiche der Bodenverlegung.,440100000.0,781.0,2.0,Utz,1911.0,Yes - flooring systems DE+NL,,None Heinz Leibundgut,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Heinz,Leibundgut,Head of Sales / Vertriebsleiter,False,89.0,True,False
Schöck Bauteile GmbH,schoeck.de,Baden-Baden,Baden-Württemberg,DE,76534.0,07223-967-0,schoeck@schoeck.de,Industrie,tier1,Die Schöck Gruppe ist ein führender Anbieter für  Lösungen in der Wärme- und Schalldämmung.,235600000.0,1073.0,2.0,Schöck,1962.0,Yes - thermal break tech,,None Alfons Hörmann,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Alfons,Hörmann,Head of Sales / Vertriebsleiter,False,89.0,False,False
Klingelnberg GmbH,klingelnberg.de/start,Hückeswagen,Nordrhein-Westfalen,DE,42499.0,02192-810,info@klingelnberg.com,Maschinenbau,tier1,Klingelnberg ist ein Spezialist für Verzahnungstechnik und bietet Werkzeugmaschinen für die Herstellung von Getrieben.,202000000.0,787.0,2.0,Klingelnberg Familie (Schweiz),1814.0,Yes - bevel gear tech,,None Martin Boelter,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Martin,Boelter,Head of Sales / Vertriebsleiter,False,89.0,False,False
GRUNER AG,gruner.de,Wehingen,Baden-Württemberg,DE,78564.0,07426-948-0,info@gruner.de,Industrie,tier1,"Gruner entwickelt und produziert Relais, Elektromagnete und Stellantriebe.",115500000.0,407.0,3.0,Spreitzer,1953.0,,World leader bistable relays up to 200A,Dr. Wolfgang Spreitzer,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Hidden_Champions; Research_xlsx; dach_10_50m_targets,4,Wolfgang,Spreitzer,Geschäftsführer/CEO,True,87.0,False,False
aquatherm GmbH,aquatherm-pipesystems.com,Attendorn,Nordrhein-Westfalen,DE,57439.0,02722-950-0,info@aquatherm.de,Industrie,tier1,"Aquatherm hat sich auf die Herstellung von Kunststoff-Rohrleitungssystemen für Sanitär- und Klimatechnik, Heizungs- und Anlagenbau spezialisiert.",115000000.0,600.0,3.0,Rosenberg,1973.0,,World leader PP-R piping systems,None Dirk Rosenberg,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Hidden_Champions; Research_xlsx; dach_10_50m_targets,4,Dirk,Rosenberg,Head of Sales / Vertriebsleiter,False,87.0,False,False
DÜRR DENTAL AG,duerrdental.de,Bietigheim-Bissingen,Baden-Württemberg,DE,74321.0,07142-705-0,info@duerr.de,Medizintechnik,tier1,Dürr Dental stellt Produkte und Systemlösungen für Zahnärzte und Kieferorthopäden her.,159000000.0,400.0,3.0,Dürr,1941.0,Innovation Champion #1 2025,,None Martin Dürrstein,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Martin,Dürrstein,Geschäftsführer/CEO,True,87.0,False,False
Palfinger GmbH,palfinger.com/de-de,Ainring,Bayern,DE,83404.0,08654-477-0,info@palfinger.de,Industrie,tier1,"Palfinger fertigt und vertreibt hydraulische Hebe-, Lade- und Handlingsysteme.",147000000.0,185.0,3.0,Palfinger Familie (Österreich),1932.0,Global leader - lifting,,None Norbert Karrer,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Norbert,Karrer,Geschäftsführer/CEO,True,87.0,False,False
Blickle Räder+Rollen GmbH u. Co. KG,blickle.de,Rosenfeld,Baden-Württemberg,DE,72348.0,07428-932-0,info@blickle.de,Industrie,tier1,"Das Standard Produktportfolio umfasst über 30.000 Räder-, Lenk- und Bockrollentypen im Tragfähigkeitsbereich von 25 bis 50.000 Kilogramm. Darüber hinaus sind zahlreiche System- und Sonderlösungen bis 100 Tonnen verfügbar.",216000000.0,1100.0,2.0,Blickle,1953.0,Yes,,None Reinhold Blickle,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx,3,Reinhold,Blickle,Head of Sales / Vertriebsleiter,False,86.0,False,False
Schunk GmbH & Co. KG,de.schunk.com,Lauffen am Neckar,Baden-Württemberg,DE,74348.0,07133-103-0,info@de.schunk.com,Maschinenbau/Automatisierung,tier1,Das Familienunternehmen SCHUNK ist weltweiter Kompetenzführer für Greif- und Spanntechnik sowie führender Technologieausrüster von Robotern und Produktionsmaschinen.,415000000.0,3000.0,1.0,Schunk,1945.0,Yes - world's largest range,,None Heinz-D. Schunk,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Heinz-D.,Schunk,Head of Sales / Vertriebsleiter,False,85.0,False,False
OPTIMA packaging group GmbH,optima-packaging-group.de,Schwäbisch Hall,Baden-Württemberg,DE,74523.0,0791-506-0,info@optima-ger.com,Maschinenbau,tier1,"Die Optima Packaging Group konzipiert und realisiert Einzelmaschinen bis hin zu komplexen Turnkey-Komplettanlagen für Pharma-, Consumer-, Nonwovens- und Life Science-Produkte.",550000000.0,3000.0,1.0,Bühler,1922.0,Yes - pharma packaging,,None Hans Bühler,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Hans,Bühler,Head of Sales / Vertriebsleiter,False,85.0,False,False
Pilz GmbH & Co. KG,pilz.de,Ostfildern,Baden-Württemberg,DE,73760.0,0711-3409-0,pilz.gmbh@pilz.de,Industrie,tier1,"Pilz ist ein internationales, innovatives Unternehmen der Automatisierungstechnik. Mit seinen Lösungen schafft Pilz Sicherheit für Mensch, Maschine und Umwelt. Zum Portfolio gehören Steuerungen, Sensoren und Antriebstechnik sowie Softwarelösungen.",403300000.0,2399.0,1.0,Pilz,1948.0,Yes - invented safety relay,,None Susanne Kunschert,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Susanne,Kunschert,Head of Sales / Vertriebsleiter,False,85.0,False,False
G. Siempelkamp GmbH & Co. KG,siempelkamp.com,Krefeld,Nordrhein-Westfalen,DE,47803.0,02151/9230,sayhello@siempelkamp.com,Industrie,tier1,Die Gruppe Siempelkamp entwickelt innovative Großprojekte.,611000000.0,2652.0,1.0,Siempelkamp,1883.0,Yes - ~60% wood panel presses,,None Martin Stark,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Martin,Stark,Head of Sales / Vertriebsleiter,False,85.0,False,False
Leitz GmbH & Co. KG,leitz.org,Oberkochen,Baden-Württemberg,DE,73447.0,07364-9500,leitz@leitz.org,Maschinenbau,tier1,Die Leitz Gruppe ist Weltmarktführer für professionelle Holz- und Kunststoffbearbeitungs-Werkzeuge.,291200000.0,2900.0,1.0,Brucklacher,1876.0,Yes - world's leading,,None Jürgen Köppel,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Jürgen,Köppel,Head of Sales / Vertriebsleiter,False,85.0,False,False
Maschinenfabrik Reinhausen GmbH,reinhausen.com,Regensburg,Bayern,DE,93059.0,0941-4090-0,info@reinhausen.com,Industrie,tier1,Die Maschinenfabrik Reinhausen ist ein Unternehmen der Hochspannungstechnik.,741600000.0,3800.0,1.0,Scheubeck,1868.0,Yes - ~60% global share,,Dr. Nicolas Maier-Scheubeck,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Nicolas,Maier-Scheubeck,Head of Sales / Vertriebsleiter,False,85.0,False,False
Groz-Beckert KG,groz-beckert.com,Albstadt,Baden-Württemberg,DE,72458.0,07431-10-0,contact@groz-beckert.com,Maschinenbau,tier1,"Groz-Beckert ist ein Hersteller von Nähmaschinennadeln für Schuh-, Strick- oder Filzmaschinen.",743000000.0,8468.0,1.0,Lindner / Groz,1852.0,Yes - world's leading,,None Hans-Jürgen Haug,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Hans-Jürgen,Haug,Head of Sales / Vertriebsleiter,False,85.0,False,False
Coffema International GmbH,coffema.de,Hamburg,Hamburg,DE,22335.0,040-50025-0,info@coffema.de,Industrie,tier1,Die Firma Coffema International vertreibt Kaffeemaschinen.,116250000.0,150.0,3.0,Nilsson,1987.0,,,None Leif Nilsson,Geschäftsführer,,,True,True,100,AI-KIP_Prospecting_100; Familienunternehmen_V6; Research_xlsx,3,Leif,Nilsson,Geschäftsführer/CEO,True,84.0,False,False
Stengel GmbH,stengel-gmbh.de,Ellwangen (Jagst),Baden-Württemberg,DE,73479.0,07961-9121-0,info@stengel-gmbh.de,Industrie,tier1,"Stengel ist ein mittelständisches Familienunternehmen, dessen Schwerpunkt in der industriellen Blechverarbeitung liegt.",100700000.0,570.0,3.0,Stengel,1967.0,,,None Josef Stengel,Geschäftsführer,,,True,True,100,AI-KIP_Prospecting_100; Familienunternehmen_V6; Research_xlsx,3,Josef,Stengel,Head of Sales / Vertriebsleiter,False,84.0,False,False
