COMPANY|DOMAIN|FIRST_NAME|LAST_NAME|JOB_TITLE|LINKEDIN_URL
OGD ict-diensten|ogd.nl|Rein|van Beers|Commercieel Directeur / CCO|https://www.linkedin.com/in/reinvanbeers
Plat4mation|plat4mation.com|Niaz|Ahmed|Sales Director|https://www.linkedin.com/in/niazahmednm/
Leaseweb|leaseweb.com|Ronald|Richardson|Chief Revenue Officer|https://www.linkedin.com/in/ronald-richardson-b9529b168/
Bynder|bynder.com|Laura|McClurg|VP Sales EMEA|https://www.linkedin.com/in/laura-mcclurg-36405022/
Bird|bird.com|Geoff|Allen|VP of Sales|https://www.linkedin.com/in/geoff-allen-994083245
Planon|planonsoftware.com|Marcel|Groenenboom|Chief Commercial Officer (CCO)|https://www.linkedin.com/in/marcel-groenenboom-ab98235/
ORTEC|ortec.com||||(Georgios Sarigiannidis was CCO but became CEO Jan 2025; new CCO not yet publicly identified)
Enreach|enreach.com|Mirjam|Boonstra|Sales Director Partner Sales|https://www.linkedin.com/in/mirjamboonstra-enreach/
Sioen Industries|sioen.com|Jan|Mortier|Commercial Director|https://www.linkedin.com/in/jan-mortier-4b242813/
Banken Champignons Group|bankenchampignons.com|Noud|van den Broek|Commercial Manager|https://www.linkedin.com/in/noud-van-den-broek-54964817/
Rexel Nederland|rexel.nl|Rob|van Veen|Commercieel Directeur / CCO|https://www.linkedin.com/in/rob-van-veen-1522bb31/
Wasco|wasco.nl|Xander|Hagens|Commercieel Directeur|https://www.linkedin.com/in/xander-hagens-6a400922a
Plieger Groep|plieger.nl||||(Commercial Director position exists but specific person not publicly identified on LinkedIn)
MCB Group|mcb.eu|Erik|Spikmans|Sales Directeur MCB Nederland|https://www.linkedin.com/in/erik-spikmans-32abb04/
Nedis|nedis.com||||(Sales Director for Benelux/Europe not publicly identified on LinkedIn)
Rubix Benelux|rubix.com|Paul|van der Rest|CEO Benelux & Nordics|https://www.linkedin.com/in/paul-van-der-rest-b006b213
Frencken Europe|frenckengroup.com|Rutger|van Galen|Managing Director|https://www.linkedin.com/in/rutger-van-galen-4b76536/
Holland Colours|hollandcolours.com|Coen|Vinke|CEO|https://www.linkedin.com/in/coen-vinke-15353233/
AnQore|anqore.com|Sjoerd|Zuidema|Chief Executive Officer|https://www.linkedin.com/in/sjoerd-zuidema-6831925/
Contiweb|contiweb.com|Joost|Smits|CEO|https://www.linkedin.com/in/joost-smits-40382b1/
Airborne Composites|airborne.com|Arno|van Mourik|CEO|https://nl.linkedin.com/in/arno-van-mourik
247TailorSteel|247tailorsteel.com|Carl|Berlo|CEO|https://nl.linkedin.com/in/carl-berlo-b4a0672
Ebusco|ebusco.com|Christian|Schreyer|CEO (stepped down June 2025; CEO search ongoing)|
Schuberg Philis|schubergphilis.com|Gerwin|Schuring|CEO / Co-Founder|https://www.linkedin.com/in/cupfighter/
Eurofiber|eurofiber.com|Alex|Goldblum|CEO|https://www.linkedin.com/in/agoldblum/
Fox-IT|fox-it.com|Philipp|Strasmann|Managing Director|https://www.linkedin.com/in/philipp-strasmann-a54a75157/
Sendcloud|sendcloud.com|Rob|van den Heuvel|Co-Founder & CEO|https://www.linkedin.com/in/robvandenheuvel92
Wortell|wortell.nl|Danny|Burlage|Founder & CEO|https://www.linkedin.com/in/dannyburlage/
Software Improvement Group|softwareimprovementgroup.com|Bart|Fehmers|CEO|https://www.linkedin.com/in/bartfehmers
DataSnipper|datasnipper.com|Vidya|Peters|CEO|https://www.linkedin.com/in/vidyapeters/
Effectory|effectory.com|Christian|de Waard|CEO|https://www.linkedin.com/in/christiandewaard/
Vandewiele Group|vandewiele.com|Philippe|Van de Velde|Vice President Sales|https://www.linkedin.com/in/philippe-van-de-velde-78840110/
FN Herstal|fnherstal.com|Nicolas|de Gottal|VP Sales, Engineering & Marketing|https://www.linkedin.com/in/nicolas-de-gottal-3181431b
Niko Group|niko.eu|Karl|De Witte|Sales Director|https://www.linkedin.com/in/karldewitte/
Resilux|resilux.com||||(Sales Director / Commercial Director for Belgium not publicly identified on LinkedIn)
BMT Aerospace|bmtaerospace.com|Emmy|Kabai|Chief Commercial Officer|https://www.linkedin.com/in/emmy-kabai-41943810
Vandersanden|vandersanden.com|Jos|Achten|Sales Director Belgium Bricks|https://www.linkedin.com/in/jos-achten-439b065a/
