Company,City,Country,Client Tier,Gap Type,Action Required,Priority
Weidmüller,Detmold,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Koenig & Bauer AG,Würzburg,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Reifenhäuser Group,Troisdorf,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Doppelmayr Holding,Wolfurt,AT,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
EOS GmbH,Krailling (Munich),DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
GEMÜ,Ingelfingen-Criesbach,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
DB Systel GmbH,Frankfurt am Main,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
HELM AG,Hamburg,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
T-Systems International,Frankfurt am Main,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
AUTO1 Group,Berlin,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Avaloq,Zurich,CH,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Zschimmer & Schwarz GmbH & Co. KG,Lahnstein,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
ITZBund,Bonn,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Telekom MMS,Dresden,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Allgeier Group,Munich,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
VECTOR Informatik,Stuttgart,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Storck,Berlin,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
IONOS,Karlsruhe,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Formel D Group,Cologne,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
ETAS,Stuttgart,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Finanz Informatik,Frankfurt,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
CONET,Bonn,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
FRITZ!,Berlin,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
REWE digital,Koeln,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Engel Austria GmbH,Schwertberg,AT,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Igus GmbH,Cologne,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Viega GmbH,Attendorn,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Herrenknecht AG,Schwanau,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
STO SE & Co. KGaA,Stühlingen,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
BHS Corrugated Maschinen- und Anlagenbau GmbH,Weiherhammer,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Multivac Sepp Hagenmueller SE & Co. KG,Wolfertschwenden,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
SEW-Eurodrive GmbH & Co KG,Bruchsal,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Lapp Gruppe (U.I. Lapp GmbH),Stuttgart,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Sick AG,Waldkirch,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Festo SE & Co. KG,Esslingen am Neckar,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
