Name,Company Domain Name,City,State/Region,Country/Region,Postal Code,Phone Number,Company Email,Industry,Description,Annual Revenue,Number of Employees,Client Tier,Industry Tier,Ownership Type,Founding Year,World Market Leader,Niche Leadership,Pipeline Priority Score,In Pipeline,Already in DB,Data Completeness %,Source Lists,Source Count,Target Contact Role
Wafios AG,wafios.de,Reutlingen,Baden-Württemberg,DE,72764.0,07121-146-0,sales@wafios.de,Maschinenbau,Die Wafios AG ist ein deutsches Maschinenbauunternehmen. Das Unternehmen ist spezialisiert auf die Herstellung von Maschinen für die Drahtverarbeitung.,166600000,979,3,tier1,Wagner / Ficker / Schmidt,1896,Yes - 120+ machine types,,97.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Head of Sales / Vertriebsleiter
Kiener Maschinenbau GmbH,kiener-online.de,Lauchheim,Baden-Württemberg,DE,73466.0,07363-950-0,info@kiener-online.de,Maschinenbau,"Kiener Maschinenbau ist eine inhabergeführte mittelständische Firma aus der Maschinenbaubranche, die sich auf die Herstellung von Maschinen und Anlagen für die Bereiche Montage-, Handhabungs- und Automatisierungstechnik konzentriert.",137500000,500,3,tier1,Kiener,1980,Yes - oriented film lines,,97.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Head of Sales / Vertriebsleiter
Uzin Utz AG,uzin-utz.com,Ulm,Baden-Württemberg,DE,89079.0,0731-4097-0,info@uzin-utz.com,Werkzeugbau,Die Uzin Utz Aktiengesellschaft entwickelt und fertigt Systemprodukte und Maschinen für alle Bereiche der Bodenverlegung.,440100000,781,2,tier1,Utz,1911,Yes - flooring systems DE+NL,,89.0,True,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Head of Sales / Vertriebsleiter
Schöck Bauteile GmbH,schoeck.de,Baden-Baden,Baden-Württemberg,DE,76534.0,07223-967-0,schoeck@schoeck.de,Industrie,Die Schöck Gruppe ist ein führender Anbieter für  Lösungen in der Wärme- und Schalldämmung.,235600000,1073,2,tier1,Schöck,1962,Yes - thermal break tech,,89.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Head of Sales / Vertriebsleiter
Klingelnberg GmbH,klingelnberg.de/start,Hückeswagen,Nordrhein-Westfalen,DE,42499.0,02192-810,info@klingelnberg.com,Maschinenbau,Klingelnberg ist ein Spezialist für Verzahnungstechnik und bietet Werkzeugmaschinen für die Herstellung von Getrieben.,202000000,787,2,tier1,Klingelnberg Familie (Schweiz),1814,Yes - bevel gear tech,,89.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Head of Sales / Vertriebsleiter
GRUNER AG,gruner.de,Wehingen,Baden-Württemberg,DE,78564.0,07426-948-0,info@gruner.de,Industrie,"Gruner entwickelt und produziert Relais, Elektromagnete und Stellantriebe.",115500000,407,3,tier1,Spreitzer,1953,,World leader bistable relays up to 200A,87.0,False,False,100,Familienunternehmen_V6; MD_Hidden_Champions; Research_xlsx; dach_10_50m_targets,4,Geschäftsführer/CEO
aquatherm GmbH,aquatherm-pipesystems.com,Attendorn,Nordrhein-Westfalen,DE,57439.0,02722-950-0,info@aquatherm.de,Industrie,"Aquatherm hat sich auf die Herstellung von Kunststoff-Rohrleitungssystemen für Sanitär- und Klimatechnik, Heizungs- und Anlagenbau spezialisiert.",115000000,600,3,tier1,Rosenberg,1973,,World leader PP-R piping systems,87.0,False,False,100,Familienunternehmen_V6; MD_Hidden_Champions; Research_xlsx; dach_10_50m_targets,4,Head of Sales / Vertriebsleiter
DÜRR DENTAL AG,duerrdental.de,Bietigheim-Bissingen,Baden-Württemberg,DE,74321.0,07142-705-0,info@duerr.de,Medizintechnik,Dürr Dental stellt Produkte und Systemlösungen für Zahnärzte und Kieferorthopäden her.,159000000,400,3,tier1,Dürr,1941,Innovation Champion #1 2025,,87.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Geschäftsführer/CEO
Palfinger GmbH,palfinger.com/de-de,Ainring,Bayern,DE,83404.0,08654-477-0,info@palfinger.de,Industrie,"Palfinger fertigt und vertreibt hydraulische Hebe-, Lade- und Handlingsysteme.",147000000,185,3,tier1,Palfinger Familie (Österreich),1932,Global leader - lifting,,87.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Geschäftsführer/CEO
Blickle Räder+Rollen GmbH u. Co. KG,blickle.de,Rosenfeld,Baden-Württemberg,DE,72348.0,07428-932-0,info@blickle.de,Industrie,"Das Standard Produktportfolio umfasst über 30.000 Räder-, Lenk- und Bockrollentypen im Tragfähigkeitsbereich von 25 bis 50.000 Kilogramm. Darüber hinaus sind zahlreiche System- und Sonderlösungen bis 100 Tonnen verfügbar.",216000000,1100,2,tier1,Blickle,1953,Yes,,86.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx,3,Head of Sales / Vertriebsleiter
Schunk GmbH & Co. KG,de.schunk.com,Lauffen am Neckar,Baden-Württemberg,DE,74348.0,07133-103-0,info@de.schunk.com,Maschinenbau/Automatisierung,Das Familienunternehmen SCHUNK ist weltweiter Kompetenzführer für Greif- und Spanntechnik sowie führender Technologieausrüster von Robotern und Produktionsmaschinen.,415000000,3000,1,tier1,Schunk,1945,Yes - world's largest range,,85.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Head of Sales / Vertriebsleiter
OPTIMA packaging group GmbH,optima-packaging-group.de,Schwäbisch Hall,Baden-Württemberg,DE,74523.0,0791-506-0,info@optima-ger.com,Maschinenbau,"Die Optima Packaging Group konzipiert und realisiert Einzelmaschinen bis hin zu komplexen Turnkey-Komplettanlagen für Pharma-, Consumer-, Nonwovens- und Life Science-Produkte.",550000000,3000,1,tier1,Bühler,1922,Yes - pharma packaging,,85.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Head of Sales / Vertriebsleiter
Pilz GmbH & Co. KG,pilz.de,Ostfildern,Baden-Württemberg,DE,73760.0,0711-3409-0,pilz.gmbh@pilz.de,Industrie,"Pilz ist ein internationales, innovatives Unternehmen der Automatisierungstechnik. Mit seinen Lösungen schafft Pilz Sicherheit für Mensch, Maschine und Umwelt. Zum Portfolio gehören Steuerungen, Sensoren und Antriebstechnik sowie Softwarelösungen.",403300000,2399,1,tier1,Pilz,1948,Yes - invented safety relay,,85.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Head of Sales / Vertriebsleiter
G. Siempelkamp GmbH & Co. KG,siempelkamp.com,Krefeld,Nordrhein-Westfalen,DE,47803.0,02151/9230,sayhello@siempelkamp.com,Industrie,Die Gruppe Siempelkamp entwickelt innovative Großprojekte.,611000000,2652,1,tier1,Siempelkamp,1883,Yes - ~60% wood panel presses,,85.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Head of Sales / Vertriebsleiter
Leitz GmbH & Co. KG,leitz.org,Oberkochen,Baden-Württemberg,DE,73447.0,07364-9500,leitz@leitz.org,Maschinenbau,Die Leitz Gruppe ist Weltmarktführer für professionelle Holz- und Kunststoffbearbeitungs-Werkzeuge.,291200000,2900,1,tier1,Brucklacher,1876,Yes - world's leading,,85.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Head of Sales / Vertriebsleiter
Maschinenfabrik Reinhausen GmbH,reinhausen.com,Regensburg,Bayern,DE,93059.0,0941-4090-0,info@reinhausen.com,Industrie,Die Maschinenfabrik Reinhausen ist ein Unternehmen der Hochspannungstechnik.,741600000,3800,1,tier1,Scheubeck,1868,Yes - ~60% global share,,85.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Head of Sales / Vertriebsleiter
Groz-Beckert KG,groz-beckert.com,Albstadt,Baden-Württemberg,DE,72458.0,07431-10-0,contact@groz-beckert.com,Maschinenbau,"Groz-Beckert ist ein Hersteller von Nähmaschinennadeln für Schuh-, Strick- oder Filzmaschinen.",743000000,8468,1,tier1,Lindner / Groz,1852,Yes - world's leading,,85.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx; dach_mittelstand_manufacturers,4,Head of Sales / Vertriebsleiter
Coffema International GmbH,coffema.de,Hamburg,Hamburg,DE,22335.0,040-50025-0,info@coffema.de,Industrie,Die Firma Coffema International vertreibt Kaffeemaschinen.,116250000,150,3,tier1,Nilsson,1987,,,84.0,False,False,100,AI-KIP_Prospecting_100; Familienunternehmen_V6; Research_xlsx,3,Geschäftsführer/CEO
Stengel GmbH,stengel-gmbh.de,Ellwangen (Jagst),Baden-Württemberg,DE,73479.0,07961-9121-0,info@stengel-gmbh.de,Industrie,"Stengel ist ein mittelständisches Familienunternehmen, dessen Schwerpunkt in der industriellen Blechverarbeitung liegt.",100700000,570,3,tier1,Stengel,1967,,,84.0,False,False,100,AI-KIP_Prospecting_100; Familienunternehmen_V6; Research_xlsx,3,Head of Sales / Vertriebsleiter
